"Sheep Number","Ear Tag","Name","Gender","Breed","Color","Weight","DOB","Sire","Dam","Status","","","","","","","","","","","","","","",""
"1","0","Sir Loin","R","St Augustine","White","300","1/1/2012","Chip","Shirley","Alive","","","","","","","","","","","","","","",""
"2","1","S'More","R","Cracker","Red","180","1/14/2021","Gigantus","Minnie","Alive","","","","","","","","","","","","","","",""
"3","2","Well Done","R","Katahdin","Black","100","2/14/2021","Big Daddy","Golf","Alive","","","","","","","","","","","","","","",""
"4","3","Anna","E","Katahdin","White","250","1/1/2010","Show King","Queen","Alive","","","","","","","","","","","","","","",""
"5","4","Banana","E","62.5% Katahdin, 37.5% St Augustine","White","250","12/1/2014","Sir Loin","Anna","Alive","","","","","","","","","","","","","","",""
"6","5","Brown Knee","E","56% Katahdin 44% St Augustine","White","250","12/1/2014","Sir Loin","Banana","Alive","","","","","","","","","","","","","","",""
"7","6","Black Spot on Ear","E","65.5% St Augustine 34.5% Katahdin","White","225","11/25/2015","Sir Loin","Brown Knee","Alive","","","","","","","","","","","","","","",""
"8","7","Banana Split","E","70.25 St Augustine 29.75 Katahdin","White","235","11/14/2015","Sir Loin","Black Spot on Ear","Alive","","","","","","","","","","","","","","",""
"9","8","Banana Split Baby","R","72.625 St Augustine 27.375 Katahdin","White","12.3","2/23/2022","Sir Loin","Banana Split","Alive","","","","","","","","","","","","","","",""
"10","9","Anna's Big One","E","62.5% Katahdin, 37.5% St Augustine","White","120","11/20/2021","Sir Loin","Anna","Alive","","","","","","","","","","","","","","",""
"11","10","Boots","E","50% Katahdin 50% Dorper","White x Tan Markings","125","1/14/2021","Boots Dad","Boots Mom","Alive","","","","","","","","","","","","","","",""
"12","11","Stew","R","75% Katahdin 25% Dorper","Black w White Markings","11.3","2/8/2022","Fleecity","Well Done","Alive","","","","","","","","","","","","","","",""
"13","12","Fleecity ","E","50% Katahdin 50% Dorper","White","10","1/14/2021","Boots Dad","Boots Mom","Alive","","","","","","","","","","","","","","",""
"14","13","Shaggy","E","50% Babydoll 50% Jacob","Black","100","2/15/2021","Shaggys Dad","Shaggys Mom","Alive","","","","","","","","","","","","","","",""
"15","14","FM","E","50% Cotswald 50% Tunis","Cream","225","1/1/2021","FM's Dad","Fms Mom","Alive","","","","","","","","","","","","","","",""
"16","15","Half Tail","E","44% Katahdin 56% St Augustine","","200","1-1-2016","Sir Loin","Hersheys","Alive","","","","","","","","","","","","","","",""
"17","16","Broken Tail","E","65.5 St Augustine 34.5 St Augustine","","200","1-1-2017","Sir Loin","Half Tail","Alive","","","","","","","","","","","","","","",""
"18","17","Hersheys","E","","","","","","","Deceased","","","","","","","","","","","","","","",""
