Pen	Stage	Name	ID	Tag	Sex	Weight (lbs)	Breed Primary	Hair %	Wool %	Coat Observed	Coat Predicted	Sire ID	Dam ID	Weak Parasites	Last FAMACHA	Status	Notes
Pen 3	1	Charlie	charlie-ram	MC20	ram	232.2	Katahdin/BHD/ABB/Wiltshire Horn	100.0	0		hair	None	None		? (4-9-26)	alive	No tag (now tagged, number TBD). Charlies Ram. Horned. CATCH-PANEL PUNCTURE on left jaw (NOT CL) — bump first noted 2-13
Pen 3	1	Nori's Baby Ram (Pen 3)	nori-baby-p3	MC2604	ram		[UNCLEAR - Nori offspring]					None	nori		? (4-9-26)	alive	No tag (now tagged TBD). Born 1-10-26. 0029/Noris Baby. 5.3 weeks old as of 2-20-26. Source: notebook card pen 3. Sire p
Pen 3	1	Broken Tail	broken-tail	MC-15	ewe	225	St Augustine/Katahdin/BBB	100.0	0		hair	sir-loin	half-tail		? (4-9-26)	alive	Flock spreadsheet: 6.25% BBB / 28.125% Katahdin / 65.625% St Augustine, 225lbs. DOB 1/18/2018. Sir Loin (25K/75SA) x Hal
Pen 3	1	Broken Tail Twin Ewe	broken-tail-twin-ewe	MC-2605	ewe		[UNCLEAR - Broken Tail offspring]					None	broken-tail		? (4-9-26)	alive	No tag (now tagged TBD). Born 12-31-25. Broken Tails twin ewe. Brown & white. Escaped from catch pen 2-13-26. 6.6 weeks 
Pen 3	1	Charlies Farm Ewe (Pen 3)	charlies-farm-ewe-p3	MC16	ewe	155	Katahdin/BHD/ABB/Wiltshire Horn	100.0	0		hair	None	None		? (4-9-26)	alive	No tag (now tagged TBD). Ewe from Charlies Farm. Multi color, white belly. Single baby (ewe, born 12-6-25). Source: note
Pen 3	1	Charlies Farm Ewe Baby	charlies-farm-ewe-baby-p3	MC-2602	ewe		[UNCLEAR - Charlies Farm Ewe offspring]					charlie-ram	charlies-farm-ewe-p3		? (4-9-26)	alive	No tag (now tagged TBD). Born 12-6-25. Baby ewe from Charlies Farm ewe. 10 weeks old as of 2-20-26. Source: notebook car
Pen 3	1	Cocoa's Daughter (by Loki)	cocoas-daughter-by-loki	None	ewe							loki	cocoa			alive	
Pen 3	1	Gigis 2026 Baby	gigi-2026-baby	MC-2613	ewe		[Kelsier x Gigi offspring]					kelsier	gg		? (4-10-26)	alive	Born 1-10-26. Gigis baby. Multi color ewe. Sire: Kelsier. 5.2 weeks old as of 2-20-26. Eyes good throughout. Watch for i
Pen 3	1	Nori	nori	0029	ewe	139	ABB/Wiltshire Horn	100	0		hair	None	None			alive	Nori breeding page: 50%ABB/50%WH, tag 21 (tag lost). Ewe weight 138.83lbs, ram weight 217.5lbs. Sire: 100%ABB, Dam: 100%
Tree Fort	2	0035 Baby Ram	tag-0035-baby-ewe	MC-2617	ram_lamb								tag-0035-white-ewe		1-2 (2026-04-11)	alive	Born 1-2-26. 0035s baby ewe. 7 weeks old 2-20-26. Source: notebook card TF.
