Name	ID	Tag	Sex	Status	Status Date	Breed Primary	Sire ID	Dam ID	Notes
Sir Loin	sir-loin	2	ram	deceased	2026-04-02	St Augustine/Katahdin	None	None	Flock spreadsheet: Tag 2, 75% St Augustine / 25% Katahdin. Sire: Chip, Dam: Shirley (off-farm). Primary herd sire. Weigh
Kelsier	kelsier	2223	ram	deceased	None	Katahdin	None	None	Most parasite resistant sheep in the flock. Deceased. Pure Katahdin. OAV 2223 = Kelsier = UF Ram Test. NSIP ID: 640301-2
Samson	samson	None	ram	deceased	None	Hampshire	None	None	Was ram for Pen 4 group (Elsie, Nori, Trouble, Bsoe, Bsoed, Banana). Deceased per weak resistance list. Pen 4 entry says
Sam	sam	None	ram	deceased	2024-09-26	Gulf Coast Native	None	None	Ram for pen 3 group. 100% Gulf Coast Native per Merrie breeding page. Ram weight 165lbs, ewe weight prediction 125lbs (f
S'More	smore	22	ram	deceased	None	Cracker	None	None	Flock spreadsheet: Tag 22, 100% Cracker, 200lbs. Sire: Gigantus, Dam: Minnie (off-farm). Deceased per spreadsheet. Was m
Well Done	well-done	8	ram	deceased	None	Katahdin	None	None	Flock spreadsheet: Tag 8, 100% Katahdin, 175lbs. Sire: Big Daddy, Dam: Gulf (off-farm). Father of Stew (by Fleecity) and
Butter Ball	butter-ball	None	ram	deceased	None	Dorper	None	None	Dorper ram. Deceased per weak resistance list.
NoriSon	nori-son	054	ram	sold	2026-04-26	St Augustine/ABB/Wiltshire Horn/Katahdin	sir-loin	nori	MERGED RECORD 2026-04-26: 'Eclipse' (tag 113) and 'NoriSon' (tag 054, was tag 22) were the same animal — owner confirmed
Charlie's Ram	charlies-ram	012	ram	deceased	2026-04-02		None	None	Photos from March 18, 2024. Also called Mc11 or tag 12. White lamb with yellow ear tag in photos. Weight calculator: 36.
Pippin	pippin	015	ram	sold	None	Cracker/St Augustine/Katahdin	smore	bsoed	Pippin/BSOE1. Tag 015. S'More (100%Cr) x BSOED (40.5K/59.5SA). DOB 12/12/2022 per BSOED breeding page. Sold. White body,
New Black Belly Ram	new-black-belly-ram	018	ram	deceased	2026-04-02	American Blackbelly	None	None	New ABB ram from measurement list. Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/20
Charlie's Lamb	charlies-lamb-0017	0017	ram	deceased	2026-04-02		charlies-ram	None	Charlie's ram's lamb. Tag 0017. Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 
Buck (Original)	buck-original	None	ram	deceased	None	Katahdin/Awassi/East Friesian	None	None	Original Buck ram in chicken coop. Came from Windlestone. 48%Awassi/2%EF/50%Katahdin confirmed by Buck breeding page. Ra
Big Free Male	big-free-male	005	ram	deceased	2026-04-02		None	None	Large free-roaming male from measurement list. Marked deceased April 2026 — not on notebook cards. Likely lost to hurric
Bella	bella	027	ewe	deceased	2026-04-02		None	None	Tag 027 (from Heather Oaks Farm). 027 and 27 are different sheep. Eyes good at tag day. In Pen 3. On weak resistance lis
Cinderella	cinderella	028	ewe	deceased	2026-04-02		None	None	Tagged 28. Eyes good at tag day. In Pen 3. Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes
Serendipity's Ram (2024)	serendipity-ram-2024	None	ram	deceased	2026-04-02	Hampshire/St Augustine/Babydoll/Jacob/Katahdin	samson	serendipity	Serendipity's 2024 ram lamb by Samson (100% Hampshire). Breed: 50%Hampshire/18.75%SA/12.5%Babydoll/12.5%Jacob/6.25%K. Fr
Serendipity's Baby	serendipitys-baby-036	036	ewe	deceased	2026-04-02		kelsier	serendipity	036, Mc12. Serendipity's baby ewe. Sire: Kelsier (pen 4 ram). Photo from March 18, 2024 shows white lamb with yellow MC1
Little Daisy's Baby (Mc01)	little-daisys-baby-mc01	None	ewe	deceased	2026-04-02		None	little-daisy	Mc01. Called 'baby's baby' in notebook. Little Daisy #35's offspring. Marked deceased April 2026 — not on notebook cards
Baby	baby	None	ewe	deceased	2026-04-02	Suffolk Cross	None	None	In pen 3 (Sam group). On weak resistance list. Google Sheet Pen 2 shows her as Suffolk Cross ewe offspring calculation p
Baby Momma	baby-momma	None	ewe	deceased	2026-04-02		None	None	In pen 3 (Sam group). Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 or natural
Zara	zara	025	ewe	deceased	None	Dorper	None	None	Tag 25. Zara = Dorper 25 (same animal). 100% Dorper. Deceased per owner. Was in pen 3 (Sam group). On weak resistance li
Half Tail	half-tail	None	ewe	deceased	2024-09-26	St Augustine/Katahdin/BBB	sir-loin	hersheys	Flock spreadsheet: 12.5% BBB / 31.25% Katahdin / 56.25% St Augustine, 180lbs. DOB ~1/1/2017. Sir Loin (25K/75SA) x Hersh
Trouble	trouble	033	ewe	deceased	2026-04-02	Katahdin/St Augustine/Dorper	sir-loin	haylee-lawson	Flock spreadsheet: Tag 9/retagged 33, 25%Dorper/37.5%K/37.5%SA, 180lbs. DOB ~1/1/2021. Sir Loin (25K/75SA) x Haylee Laws
Bsoe	bsoe	032	ewe	deceased	2026-04-02	Katahdin/St Augustine	sir-loin	two-pence	Flock spreadsheet: 56%K/44%SA, 185lbs. DOB ~1/1/2019. Sir Loin (25K/75SA) x Two Pence. Mother of BSOED (by Sir Loin). Ta
Bsoed	bsoed	031	ewe	deceased	2026-04-02	St Augustine/Katahdin	sir-loin	bsoe	Flock spreadsheet: ~40.5%K/~59.5%SA, 175lbs. DOB 1/18/2020. Sir Loin (25K/75SA) x BSOE (56K/44SA). Tag 31 (switched with
FM1	fm1	009	ewe	deceased	2026-04-02	St Augustine/Cotswold/Tunis/Katahdin	sir-loin	fm	FM1 = Sir Loin × FM per FM breeding page. Tag 009. DOB 4/1/2023. 25%Cotswold/12.5%K/37.5%SA/25%Tunis. Same as extension 
Gertrude Moon	gertrude-moon	022	ewe	deceased	None	American Black Belly	gertrude-moon-sire	gertrude-moon-dam	Gertrude Moon aka Bitch Face (BF). Tag 22. 100%ABB. DOB ~2020. Acquired 5-4-23. DECEASED — awful mother, no offspring ke
GM Twin 1 (2024)	gm-twin1-2024	None	unknown	deceased	None	ABB/St Augustine/Katahdin	sir-loin	gertrude-moon	Born 1-2-24. Sir Loin x Gertrude Moon. Not kept per owner.
GM Twin 2 (2024)	gm-twin2-2024	None	unknown	deceased	None	ABB/St Augustine/Katahdin	sir-loin	gertrude-moon	Born 1-2-24. Sir Loin x Gertrude Moon. Not kept per owner.
Circle Tail	circle-tail	None	ewe	deceased	2026-04-02	Cracker/St Augustine/Katahdin	smore	brown-knee	Flock spreadsheet: 50% Cracker / 21.875% Katahdin / 28.125% St Augustine. DOB 1/22/2023. S'More (100Cr) x Brown Knee (43
Fox Tail	fox-tail	017	ewe	deceased	None	Cracker/St Augustine/Katahdin/Dorper	smore	trouble	Tag 17. S'More (100%Cr) x Trouble (37.5K/37.5SA/25Dorper). 50%Cr/18.75%SA/18.75%K/12.5%Dorper. Died in Hurricane Helene.
S1	s1	None	ewe	deceased	2026-04-02		None	None	In pen 6 (no ram). Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 or natural ca
S2	s2	None	ewe	deceased	2026-04-02		None	None	In pen 2 (sirloin group). Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 or nat
Pebbles	pebbles	None	ewe	deceased	2026-04-02		None	None	In pen 2 (sirloin group). FAMACHA 3, treated. Entry struck through in treatment list. Marked deceased April 2026 — not o
Anna	anna	1	ewe	deceased	None	Katahdin	None	None	Flock spreadsheet: Tag 1, 100% Katahdin, 175lbs. DOB 1/12/2012. Sire: Show King, Dam: Show Queen (off-farm). Mother of A
Boots	boots	7	ewe	culled	None	Dorper/Katahdin	None	None	Flock spreadsheet: Tag 7, 50% Dorper / 50% Katahdin, 130lbs. DOB 2/14/2020. Purchased from Maria (Sire: Maria 1, Dam: Ma
Patches	patches	27	ewe	deceased	2026-04-02		None	None	Weight calculator: 65.6lbs (girth 27, length 27). Tag 27 — confirmed distinct from Bella (tag 027, Heather Oaks Farm). M
Little Song	little-song	008	ewe	deceased	2026-04-02	St Augustine/Katahdin	sir-loin	annas-big-one	Flock spreadsheet: Tag 8/retagged 008, 43.75% Katahdin / 56.25% St Augustine, White. DOB 1/24/2023. Sir Loin (25K/75SA) 
Black Rock	black-rock	010	ewe	deceased	2026-04-02		None	None	Tag 010. From measurement list. No measurements recorded yet. Marked deceased April 2026 — not on notebook cards. Likely
Question Tail	question-tail	001	ewe	deceased	2026-04-02		None	None	Tag 001. From measurement list. Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 
Female 004	female-004	004	ewe	deceased	2026-04-02		None	None	Tag 004. From measurement list. Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 
Half Tail's Baby	half-tails-baby	007	ewe	deceased	2026-04-02		None	half-tail	Tag 007. Half Tail's baby. From measurement list. Marked deceased April 2026 — not on notebook cards. Likely lost to hur
Sb1 (Crown)	sb1-crown	002	ewe	deceased	2026-04-02		None	None	Tag 002. Called 'Sb1 (crown)' in measurements. Weight calculator: 68.0lbs. Marked deceased April 2026 — not on notebook 
Sb2 (All Black)	sb2-all-black	003	ewe	deceased	2026-04-02		None	None	Tag 003. Called 'Sb2 (all black)' in measurements. Weight calculator: 65.6lbs. Marked deceased April 2026 — not on noteb
New Big Girl 2	new-big-girl-2	None	ewe	deceased	2026-04-02		None	None	In pen 3 (Sam group). Marked deceased April 2026 — not on notebook cards. Likely lost to hurricanes 2023/2024 or natural
Daisy's Daughter 2	daisys-daughter-2	None	ewe	deceased	2026-04-02	St Augustine/Katahdin/BBB/Wiltshire	None	daisy	From Google Sheet Pen 5 and 6. In NoriSon's group. Different from Daisy's Daughter 1. Mother is Daisy (Sir Loin x Half T
Tag 31	tag-31-ewe	031-pen2	ewe	deceased	2026-04-02	Katahdin/St Augustine/Dorper/BBB	None	None	From Google Sheet Pen 2. 69.25% wool. Different from Bsoed tag 31 in pen 5. Lambed 2026-02-13. Marked deceased April 202
Tag 33	tag-33	033-pen1	ewe	deceased	2026-04-02	Katahdin/St Augustine/BBB/Cracker/White Dorper/Suffolk/GCN	None	None	From Google Sheet Pen 1. 3/4 hair. Has twins. Marked deceased April 2026 — not on notebook cards. Likely lost to hurrica
Bambi	bambi	037	ewe	deceased	2026-04-02	Katahdin/Dorper	None	None	Weight calculator: tag 35, 81.3lbs (girth 29, length 29). Google Sheet Pen 3 shows 3/4 hair. Broken Tail x Buck. Also ap
Irish	irish	None	ewe	deceased	2026-04-02		None	little-daisy	Little Daisy's daughter. Needed parasite treatment April 13, 2025. Eyes better than Daisy but still scored ~2. Marked de
Unnamed (Pen 2)	unnamed-pen2	None	ewe	deceased	2026-04-02		None	None	Unnamed ewe in pen 2 (sirloin group). Not the same as the deceased 'Unnamed' on the weak resistance list. Marked decease
Fl51870-0502	fl51870-0502	Fl51870-0502	ewe	deceased	2026-04-02	Hampshire/Suffolk	None	None	Florida scrapie tag Fl51870-0502. 50%Hampshire/50%Suffolk. Ewe weight 285.61lbs, ram weight prediction 385lbs. Bred to S
FM's Lamb (2023)	fm-lamb-2023	None	ewe	deceased	2026-04-02	St Augustine/Cotswold/Tunis/Katahdin	sir-loin	fm	FM × Sir Loin lamb = FM1 (tag 009). Born 4/1/2023. Birth weight 12lbs (single — heaviest birth weight in class!). Weaned
Ext Lamb 8 (ABG)	ext-lamb-8	None	ram	deceased	None		None	None	Extension service lamb ID 8. Ram, born 1/24/2023 (type 3). Ewe: ABG age 1, Sire: SL (Sir Loin). Not kept. Birth weight 8
Shaggy	shaggy	None	ewe	deceased	None	Babydoll/Jacob	None	None	Flock spreadsheet: 50% Babydoll / 50% Jacob, Black, 140lbs. DOB ~1/1/2019. Purchased (Sire: Jacob 1, Dam: Baby Doll 1). 
Skitters	skitters	None	ewe	deceased	None	Karakul	None	None	Deceased. 100% Karakul per Rocky breeding page. Also called 'Amber' per owner. Weight calculator: 175.7lbs (from 2023-20
W136	w136	None	ewe	deceased	None		None	None	Deceased. On weak resistance list.
Unnamed (Deceased)	unnamed-deceased	None	unknown	deceased	None		None	None	Deceased. On weak resistance list as 'Unnamed (deceased)'.
Hersheys	hersheys	3	ewe	deceased	None	BBB/Katahdin/St Augustine	sir-loin	sugar	Flock spreadsheet: Tag 3, 25% BBB / 37.5% Katahdin / 37.5% St Augustine, 150lbs. DOB 2/1/2015. Sir Loin (25K/75SA) x Sug
GG's Daughter	gg-daughter-45	045	ewe	deceased	None		kelsier	gg	GG's daughter. Tag 45. Sire: Kelsier, Dam: GG (owner-confirmed 2026-05-13 — prior sire_id 'gg' was wrong since GG is an 
