Name	ID	Tag	Tag Color	Sex	Status	Status Date	Pen	DOB	DOB Approx	Sire ID	Dam ID	Breed Primary	Breed %	Coat Type	Weight (lb)	Weight Estimated	Confidence
Cocoa	cocoa			ewe	alive					smore	half-tail						medium
Daisy (of Sugar)	daisy-of-sugar			ewe	alive					sir-loin	sugar						medium
Dodge	dodge			ram	alive				Y	sir-loin	broken-tail	St Augustine/Katahdin/BBB	St Augustine 70.3125%, Katahdin 26.5625%, Barbados Blackbelly 3.125%	mixed	277.3	Y	high
Kaladin	kaladin	014		ram	alive			2023-05-11	Y	smore	serendipity	Cracker/St Augustine/Babydoll/Jacob/Katahdin	Cracker 50%, St Augustine 18.75%, Babydoll 12.5%, Jacob 12.5%, Katahdin 6.25%	mixed	52		high
Loki	loki			ram	alive					dodge	daisy-of-sugar						medium
Buck	buck	MC-2433		ram	alive	2026-04-02	Chicken Coop		Y			Katahdin/Awassi/East Friesian	Katahdin 50%, Awassi 48%, East Friesian 2%	mixed	270.8	Y	high
114 Black Ram Lamb	tag-114-black-ram-lamb			ram	alive		Goose Pen	2026-03-29		rocky	tag-114-fawn-wool	[UNCLEAR - 114 offspring]		unknown			high
00113	tag-00113-ewe-p1	00113		ewe	alive	2026-04-25	Pen 1		Y			Cracker/Suffolk/GCN/Katahdin	Cracker 50%, Suffolk 25%, Gulf Coast Native 12.5%, Katahdin 12.5%	wool			high
0053	nuba-0053	0053		ewe	alive		Pen 1			samson		Hampshire/St Augustine/Katahdin	Hampshire 50%, St Augustine 37.5%, Katahdin 12.5%	mixed	175	Y	medium
0053's Baby Ewe	nuba-baby-ewe			ewe	alive	2026-03-24	Pen 1	2026-03-24		rocky	nuba-0053						high
Azure	azure	20		ewe	alive		Pen 1		Y			Hampshire/Suffolk	Hampshire 50%, Suffolk 50%	wool	212.5		high
Baby Azure	baby-azure	MC-2610		ewe	alive		Pen 1	2026-01-10			azure	[UNCLEAR - Azure offspring]		unknown			high
Charlies Ewe	charlies-ewe	MC2620		ewe	alive		Pen 1					Katahdin/BHD/ABB/Wiltshire Horn	Katahdin 50%, Black Headed Dorper 25%, American Black Belly 12.5%, Wiltshire Horn 12.5%	hair			medium
Charlies Ewe Ram Lamb	charlies-ram-lamb	MC-2619		ram	alive		Pen 1	2025-12-26		buck	charlies-ewe	Katahdin/Awassi/BHD/ABB/Wiltshire Horn	Katahdin 50%, Awassi 24%, Black Headed Dorper 12.5%, American Black Belly 6.25%, Wiltshire Horn 6.25%, East Friesian 1%	hair			medium
Hair Ewe 0033	tag-0033-hair-ewe	0033		ewe	alive		Pen 1			sir-loin		St Augustine/Katahdin	St Augustine 37.5%, Katahdin 62.5%	hair	170	Y	medium
Orange Tag Ram	orange-tag-00110	00110		ram	alive		Pen 1					Cracker/Suffolk/GCN/Katahdin	Cracker 50%, Suffolk 25%, Gulf Coast Native 12.5%, Katahdin 12.5%	wool	287.5		medium
Wool Ewe 0044	tag-0044-wool-ewe	0044		ewe	alive		Pen 1					Katahdin/Awassi/East Friesian	Katahdin 50%, Awassi 48%, East Friesian 2%	wool	170	Y	medium
Rocky	rocky	140		ram	alive		Pen 2		Y	teaser	dorper-ewe-198	Black Headed Dorper/Awassi/East Friesian	Awassi 44%, Black Headed Dorper 50%, East Friesian 6%	mixed	300		high
Windlestone Kat/Dorper Ram	windlestone-kat-dorper			ram	alive	2026-04-03	Pen 2		Y			Katahdin/Dorper	Katahdin 50%, Black Headed Dorper 50%	hair			high
Broken Tail	broken-tail	MC-15		ewe	alive		Pen 3	2018-01-18	Y	sir-loin	half-tail	St Augustine/Katahdin/BBB	St Augustine 65.625%, Katahdin 28.125%, Barbados Blackbelly 6.25%	mixed	225		high
Broken Tail Twin Ewe	broken-tail-twin-ewe	MC-2605		ewe	alive		Pen 3	2025-12-31			broken-tail	[UNCLEAR - Broken Tail offspring]		unknown			medium
Charlie	charlie-ram	MC20		ram	alive		Pen 3					Katahdin/BHD/ABB/Wiltshire Horn	Katahdin 50%, Black Headed Dorper 25%, American Black Belly 12.5%, Wiltshire Horn 12.5%	hair	232.2	Y	high
Charlies Farm Ewe (Pen 3)	charlies-farm-ewe-p3	MC16		ewe	alive		Pen 3					Katahdin/BHD/ABB/Wiltshire Horn	Katahdin 50%, Black Headed Dorper 25%, American Black Belly 12.5%, Wiltshire Horn 12.5%	hair	155	Y	medium
Charlies Farm Ewe Baby	charlies-farm-ewe-baby-p3	MC-2602		ewe	alive		Pen 3	2025-12-06		charlie-ram	charlies-farm-ewe-p3	[UNCLEAR - Charlies Farm Ewe offspring]		unknown			medium
Cocoa's Daughter (by Loki)	cocoas-daughter-by-loki			ewe	alive		Pen 3	2025-09		loki	cocoa						medium
Gigis 2026 Baby	gigi-2026-baby	MC-2613		ewe	alive		Pen 3	2026-01-10		kelsier	gg	[Kelsier x Gigi offspring]		unknown			high
Nori	nori	0029		ewe	alive		Pen 3	2023-02-01	Y			ABB/Wiltshire Horn	American Blackbelly 50%, Wiltshire Horn 50%	hair	139		high
Nori's Baby Ram (Pen 3)	nori-baby-p3	MC2604		ram	alive		Pen 3	2026-01-10			nori	[UNCLEAR - Nori offspring]		unknown			medium
FM	fm	0011		ewe	alive		Pen 4	2021-02-14	Y	fm-sire	fm-dam	Cotswold/Tunis	Cotswold 50%, Tunis 50%	wool	212.5		high
FM2	fm2-0051	0051		ewe	alive		Pen 4			sir-loin	fm	Cotswold/Tunis/St Augustine/Katahdin	Cotswold 25%, Tunis 25%, St Augustine 37.5%, Katahdin 12.5%	wool	185	Y	medium
FM2 Ram Lamb	fm2-ram-lamb	MC2614		ram	alive		Pen 4	2026-01-31		kelsier	fm2-0051	[Kelsier x FM2 offspring]		unknown			medium
GG	gg	MC-19		ewe	alive		Pen 4		Y			Hampshire/Suffolk	Hampshire 50%, Suffolk 50%	wool	212.5		medium
Gigis 2025 Ram	gigi-2025-ram	MC-09		ram	alive		Pen 4		Y	kelsier	gg	[Kelsier x Gigi offspring]		unknown			medium
Lara	lara	023		ewe	alive		Pen 4	2018-01-01	Y	lara-sire	lara-dam	Black Headed Dorper	Black Headed Dorper 100%	hair	160		high
Little Daisy	little-daisy	035		ewe	alive		Pen 4	2023-03-23	Y	dodge	daisy	St Augustine/Katahdin/BBB	St Augustine 67.9625%, Katahdin 27.325%, Barbados Blackbelly 4.6875%	mixed	145		high
Merrieweather	merrie	00016		ram	alive		Pen 4	2023-01-14	Y	smore	half-tail	Cracker/St Augustine/Katahdin/BBB/White Dorper	Cracker 50%, St Augustine 28.125%, Katahdin 12.5%, Barbados Blackbelly 6.25%, White Dorper 3.125%	mixed	200		high
Samson Daughter (Pen 4)	samson-daughter-p4			ewe	alive		Pen 4		Y	samson	fm	Hampshire/Cotswold/Tunis	Hampshire 50%, Cotswold 25%, Tunis 25%	wool			medium
Serendipity	serendipity	MC157		ewe	alive		Pen 4	2022-03-25	Y	sir-loin	shaggy	St Augustine/Babydoll/Jacob/Katahdin	St Augustine 37.5%, Babydoll 25%, Jacob 25%, Katahdin 12.5%	mixed	138		high
Serendipity Black Ewe Twin	serendipity-twin-ewe	MC2607		ewe	alive		Pen 4	2025-12-30		kelsier	serendipity	[Kelsier x Serendipity offspring]		unknown			high
Serendipity White Ram Twin	serendipity-twin-ram	MC2606		ram	alive		Pen 4	2025-12-30		kelsier	serendipity	[Kelsier x Serendipity offspring]		unknown			high
