Name	ID	Tag	Pen	DOB	Breed Primary	Weight (lb)	Offspring Count	Sire ID	Dam ID
Dodge	dodge				St Augustine/Katahdin/BBB	277.3	3	sir-loin	broken-tail
Kaladin	kaladin	014		2023-05-11	Cracker/St Augustine/Babydoll/Jacob/Katahdin	52	0	smore	serendipity
Loki	loki						0	dodge	daisy-of-sugar
Buck	buck	MC-2433	Chicken Coop		Katahdin/Awassi/East Friesian	270.8	0		
114 Black Ram Lamb	tag-114-black-ram-lamb		Goose Pen	2026-03-29	[UNCLEAR - 114 offspring]		0	rocky	tag-114-fawn-wool
Charlies Ewe Ram Lamb	charlies-ram-lamb	MC-2619	Pen 1	2025-12-26	Katahdin/Awassi/BHD/ABB/Wiltshire Horn		0	buck	charlies-ewe
Orange Tag Ram	orange-tag-00110	00110	Pen 1		Cracker/Suffolk/GCN/Katahdin	287.5	0		
Rocky	rocky	140	Pen 2		Black Headed Dorper/Awassi/East Friesian	300	0	teaser	dorper-ewe-198
Windlestone Kat/Dorper Ram	windlestone-kat-dorper		Pen 2		Katahdin/Dorper		0		
Charlie	charlie-ram	MC20	Pen 3		Katahdin/BHD/ABB/Wiltshire Horn	232.2	0		
Nori's Baby Ram (Pen 3)	nori-baby-p3	MC2604	Pen 3	2026-01-10	[UNCLEAR - Nori offspring]		0		nori
FM2 Ram Lamb	fm2-ram-lamb	MC2614	Pen 4	2026-01-31	[Kelsier x FM2 offspring]		0	kelsier	fm2-0051
Gigis 2025 Ram	gigi-2025-ram	MC-09	Pen 4		[Kelsier x Gigi offspring]		0	kelsier	gg
Merrieweather	merrie	00016	Pen 4	2023-01-14	Cracker/St Augustine/Katahdin/BBB/White Dorper	200	0	smore	half-tail
Serendipity White Ram Twin	serendipity-twin-ram	MC2606	Pen 4	2025-12-30	[Kelsier x Serendipity offspring]		0	kelsier	serendipity
Angus	angus		Pen 5		Katahdin/Dorper/Awassi		0		
MC08	mc08-ram	MC08	Pen 6		Hampshire/Cotswold/Tunis	190	0	samson	fm
0035 Baby Ram	tag-0035-baby-ewe	MC-2617	Tree Fort	2026-01-02			0		tag-0035-white-ewe
Orange 31 Ram Lamb	tag-31-orange-tf-ram-lamb	MC2616	Tree Fort	2026-01-02			0		tag-31-orange-tf
