Date	Animal ID	Animal Name	Pen	Treatment	Notes
2026-04-10	serendipity-twin-ram	Serendipity White Ram Twin	Pen 4	Iron 0.5mL + VB12 1mL	FAMACHA 5 AGAIN — second emergency
2026-04-10	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	Iron 0.5mL + VB12 1mL	FAMACHA 5 AGAIN — second emergency
2026-04-10	lara	Lara	Pen 4	Vitamin B12 3mL	Condition bad though eyes good
2026-04-10	gg	GG	Pen 4	Fenbendazole + Ivermectin + Iron 3mL + VB 4mL	Third FAMACHA 5 emergency. Weak resistance severely confirmed.
2026-04-09	broken-tail-twin-ewe	Broken Tail Twin Ewe	Pen 3	Iron 1cc + VB 0.5cc + Ivermectin	EYES WHITE — severe parasite emergency. Treated same day as CDT booster.
2026-04-01	baby-azure	Baby Azure	Pen 1	Ivermectin + Fenbendazole + Iron + B12 + Nutridrench	FAMACHA 5 emergency treatment. Also CDT booster.
2026-03-30	tag-0033-twin-ram-2	0033 Twin Ram 2 (Black)		Ivermectin + VB (Vitamin B) + Iron shot	FAMACHA 4 (eyes not good) — treated then boostered
2026-03-09	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	VB12 1mL	Under 3
2026-03-08	nuba-0053	0053	Pen 1	Corid	Pen 2 Corid treatment 3-8 through 3-13-26 (5 days)
2026-02-28	charlie-ram	Charlie	Pen 3	Nuflor 4.5mL	Weight 108.2 lbs. Flushed abscess.
2026-02-28	charlie-ram	Charlie	Pen 3	Nuflor 4.5mL	105.2°F fever, flushed abscess. Catch-panel puncture (NOT CL) per thread correction.
2026-02-27	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	VB12 shot 1mL	eyes under 3
2026-02-27	serendipity	Serendipity	Pen 4	Vitamin B12 3mL	Skinny, nursing twins
2026-02-27	serendipity	Serendipity	Pen 4	Vitamin B12 3mL	Skinny, FAMACHA 3
2026-02-27	lara	Lara	Pen 4	Vitamin B shot	
2026-02-27	lara	Lara	Pen 4	Vitamin B shot	eyes borderline
2026-02-27	gg	GG	Pen 4	Ivermectin + Fenbendazole + VB 3mL + Iron 3mL	Still almost white
2026-02-27	charlie-ram	Charlie	Pen 3	Lanced bump on left jaw	
2026-02-27	charlie-ram	Charlie	Pen 3	Lanced abscess on L jaw	Bump detected 2-13, soft 2-26, lanced 2-27
2026-02-21	gigi-2025-ram	Gigis 2025 Ram	Pen 4	Corid (coccidia, 5-day course)	Start Sat 2-21
2026-02-20	serendipity-twin-ram	Serendipity White Ram Twin	Pen 4	Iron .5mL + VB + Ivermectin + Fenbendazole	Eyes bad
2026-02-20	serendipity-twin-ram	Serendipity White Ram Twin	Pen 4	Iron 0.5mL + VB 1mL + Ivermectin + Fenbendazole	eyes bad (~FAMACHA 4)
2026-02-20	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	Ivermectin + VB Shot 1mL	Not white but retreated
2026-02-20	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	Ivermectin + VB 1mL	eyes improving to L pink
2026-02-20	gg	GG	Pen 4	Ivermectin + Fenbendazole + VB 3mL + Iron 2mL	FAMACHA almost white
2026-02-19	baby-azure	Baby Azure	Pen 1	Covexin 1st shot	
2026-02-12	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	Ivermectin + Fenbendazole + VB Iron + VB Shot 1mL	FAMACHA 5 emergency
2026-02-12	serendipity-twin-ewe	Serendipity Black Ewe Twin	Pen 4	Ivermectin + Fenbendazole + Iron 0.25mL + VB 1mL	FAMACHA 5 — eyes white at 6 wks old
2025-tag-day	sam	Sam		iron (FAMACHA 3)	
2024-10-24	zara	Zara		iron and vitamin B	
2024-10-24	rocky	Rocky	Pen 2	iron and vitamin B	
2024-10-24	lara	Lara	Pen 4	iron and vitamin B	
2024-10-24	dorper-ram-deceased	Dorper Ram (Deceased)		iron and vitamin B	
2024-03-13	oav-2222	OAV 2222	Pen 5	B-complex (thiamine deficiency)	
2023-09-20	rocky	Rocky	Pen 2	Ivermectin and iron x nutridrench	
2023-09-06	lara	Lara	Pen 4	Ivermectin (post-Hurricane Idalia stress)	
2023-09-06	gertrude-moon	Gertrude Moon		Ivermectin	
2023	tag-430-2079	430-2079		Terramycin (foot rot)	
