Birth Date	Dam	Sire	Pen	Lambs Born	Lambs Alive	Notes
2026-04-30						Both healthy at birth, good FAMACHA. White with rust; one has a small black dot.
2026-04-22	00113	NoriSon	Pen 5	1	0	Singleton, sex unknown. Lamb died 2026-04-25 of failure to thrive (3-day life). Owner: '00113 was a bad mom.' Owner verbal 2026-04-26.
2026-02-13	Tag 31	[UNCLEAR]		1	1	FM
2026-02-05	Gigi	[UNCLEAR]		1	1	GG's lamb (Ew)
2026-02-03	Serendipity	Kelsier	Pen 4	2	2	Twins per owner. Serendipity now in Pen 4 with twins. Sire confirmed by owner (Kelsier was pen 4 ram).
2026-02-02	Tag 34	Kelsier	Pen 4	1	1	Fm2. Sire confirmed by owner (Kelsier was pen 4 ram).
2026-02-01	FM	Kelsier	Pen 4	1	1	Sire confirmed by owner (Kelsier was pen 4 ram).
2026-01-30	Dorpy	Kelsier	Pen 4	1	1	Dorper/Katahdin cross. Sire confirmed by owner (Kelsier was pen 4 ram).
2026-01-29	Azure	[UNCLEAR]	Pen 2	1	1	Renamed Amure in notes
2026-01-28	Zara	[UNCLEAR]	Pen 3	1	1	EH
2026-01-27	Tag 33	[UNCLEAR]	Pen 1	2	2	Twins (Ew = ewe)
2026-01-25	Nori	Kelsier	Pen 4	1	1	EH. Sire confirmed by owner (Kelsier was pen 4 ram).
2026-01-23	Elsie	NoriSon	Pen 6	3	3	Triplets per owner. Elsie now in Pen 6 with lambs. Sire confirmed by owner (NoriSon was pen 5 ram).
2026-01-20	Broken Tail	[UNCLEAR]	Pen 2	2	2	Twins
